pair,date,hedge_ratio,spread,spread_return,spread_momentum_5,spread_momentum_20,spread_zscore_20,spread_zscore_60,spread_percentile_60,spread_percentile_120,distance_from_mean_20,distance_from_mean_60,zscore_change,spread_volatility_20,spread_volatility_60,realized_volatility,vol_regime_high,vol_regime_low,vol_regime_medium,trend_bullish,trend_bearish,rolling_half_life,rolling_mean_reversion_speed,distance_from_equilibrium,rolling_correlation_20,rolling_correlation_60,rolling_beta,rolling_adf_statistic,rolling_adf_pvalue,rolling_skew,rolling_kurtosis,target
HD-MA,2022-12-19,0.7775562858941975,32.18704050836595,-2.0438266528794315,3.07534168563177,7.403664613892545,0.5074510817967984,0.5374919355822986,0.6666666666666666,0.8333333333333334,1.7910943520314042,3.3582720450444548,-0.34620389469846025,3.302815576190793,3.538732402549527,52.43057184546806,0,1,0,1,0,8.494218176077547,0.08160223415405915,3.3582720450444548,0.7568978051830022,0.946065440600592,0.7107898463127525,-2.2720717174182417,0.1811336395994842,0.10029321512363812,0.08253062833956858,0.0
HD-MA,2022-12-20,0.7775562858941975,28.608264865115075,-3.5787756432508786,-5.799456985421614,-3.611603852896394,-0.4560773322440329,-0.04975949345325107,0.5,0.75,-1.6071010985746632,-0.3088084650087737,-0.5872514290355496,2.963443603511507,3.566070803319134,47.043208795539265,0,1,0,1,0,8.318472317488467,0.08332625921020338,-0.3088084650087737,0.7452832837485008,0.9454496789056522,0.7038724257595834,-2.3074615173775435,0.16957277555748274,0.11191622857238064,0.009835207676350603,0.0
HD-MA,2022-12-21,0.7775562858941975,30.68184374961595,2.0735788845008756,-3.948680286098977,-3.8385121527774686,0.19488217366753102,0.27703171646775876,0.6,0.8,0.658403393565095,1.7200794297414852,0.32679120992100985,2.9538638859669546,3.524593003691426,46.8911354940205,0,1,0,1,0,8.79430555099773,0.07881772773761613,1.7200794297414852,0.7681744953639518,0.9436970079442477,0.7016295694431502,-2.174958516709712,0.2154592629007584,0.1184205006034567,0.11424846590016585,0.0
HD-MA,2022-12-22,0.7775562858941975,30.87537341834559,0.19352966872963862,-6.964208320464309,2.240676852668912,0.21974209195402516,0.3312695338283568,0.6333333333333333,0.8083333333333333,0.7398992196612895,2.0246529894684357,0.05423781736059802,2.6324200425086186,3.2971322863541985,41.7883726724393,0,1,0,1,0,8.738872430650186,0.0793176907044487,2.0246529894684357,0.785270830170093,0.9439654222857277,0.709389729656341,-2.1925768591078953,0.20895065198006324,-0.12711114713442492,-0.21462666626794627,0.0
HD-MA,2022-12-23,0.7775562858941975,31.693702510490937,0.8183290921453477,-2.5371646507544483,0.6216702685147197,0.4519417107816395,0.4843278616731205,0.6666666666666666,0.8166666666666667,1.527144798380892,2.9247413681058063,0.1530583278447637,2.5815523233907145,3.297459174998101,40.98087266515694,0,1,0,1,0,8.75148589274002,0.0792033706110365,2.9247413681058063,0.7894808547384496,0.9434260773748355,0.7177521144369506,-2.190139449835994,0.20984371320755874,-0.1539658243526616,-0.21042067422862187,0.0
HD-MA,2022-12-27,0.7775562858941975,30.49875547530212,-1.194947035188818,-1.6882850330638348,1.1493138522362756,0.08142099713430044,0.30619396497054874,0.6,0.775,0.2747320705802636,1.8258202486535318,-0.17813389670257174,2.565332574374746,3.300441192141274,40.72339213181212,0,1,0,1,0,8.658739578508841,0.08005174128118485,1.8258202486535318,0.7845319937773086,0.9426224645688925,0.7264444444394115,-2.2143162977471142,0.20109055810652965,-0.1407981467980848,-0.22354923145303637,0.0
HD-MA,2022-12-28,0.7775562858941975,30.188885629713013,-0.30986984558910535,1.5806207645979384,2.4356842478711087,-0.04720984880101737,0.284813732330336,0.6,0.7666666666666667,-0.1569219874023986,1.6576589584098897,-0.021380232640212715,2.5376651905587564,3.283796942694662,40.28418602978282,0,1,0,1,0,8.511001904870113,0.08144131423156149,1.6576589584098897,0.7881592776697115,0.9437660933502168,0.7380196913388265,-2.2542541891459216,0.18714640832606766,-0.1077695544670752,-0.17786922866852736,1.0
HD-MA,2022-12-29,0.7775562858941975,29.729211162283946,-0.4596744674290676,-0.9526325873320047,2.94211165267086,-0.23705157977397995,0.22636368561267095,0.5666666666666667,0.7416666666666667,-0.7637020374650092,1.299973893494947,-0.05845004671766507,2.5287496639488607,3.2649303526699223,40.14265643248105,0,1,0,1,0,8.40297202515173,0.08248833608932898,1.299973893494947,0.7961926325724674,0.944944108482339,0.7454002840190354,-2.2800649845978147,0.1784780344898762,-0.13749299071250076,-0.1109792582393953,1.0
HD-MA,2022-12-30,0.7775562858941975,25.906838024708065,-3.8223731375758803,-4.968535393637524,-0.36434654693488255,-1.4064797761889778,-0.41870841384067015,0.3333333333333333,0.6,-4.5678578476941425,-2.3894103202592625,-0.6450720994533411,2.678053635362374,3.2916146794170213,42.51278350116777,0,1,0,1,0,8.216997655131964,0.08435528518461205,-2.3894103202592625,0.7829941830704955,0.9451776146502826,0.7485569000120759,-2.3165143835302335,0.166697058475425,-0.12709886358635714,-0.18562114709202357,1.0
HD-MA,2023-01-03,0.7775562858941975,26.66104098079586,0.754202956087795,-5.032661529695076,-1.0204749917953677,-1.1396776612415436,-0.2601729145434034,0.38333333333333336,0.625,-3.762631142016584,-1.449692721554925,0.15853549929726674,2.6636126101496354,3.2509688166669672,42.28353933282945,0,1,0,1,0,8.248078463396741,0.08403741351831077,-1.449692721554925,0.7628656955303266,0.9471261059962985,0.7577481539215071,-2.299683489880025,0.17207007264783847,-0.11504068781100629,-0.08839950896079561,1.0
