Date,Portfolio Equity
2022-10-03,129.4584974619103
2022-10-04,129.70473403051727
2022-10-05,130.42039755964208
2022-10-06,130.6959746808526
2022-10-07,131.00226872803194
2022-10-10,130.99393490539
2022-10-11,131.3228964914986
2022-10-12,131.92615090871087
2022-10-13,133.54826360366516
2022-10-14,133.51463441094285
2022-10-17,133.51463441094285
2022-10-18,132.9689673864477
2022-10-19,133.5001540006784
2022-10-20,132.71483350912214
2022-10-21,131.02672139121375
2022-10-24,132.22167756578676
2022-10-25,134.36118383459743
2022-10-26,134.95818612342697
2022-10-27,134.69322405963734
2022-10-28,136.21335201796262
2022-10-31,136.06554783688412
2022-11-01,134.92282839830563
2022-11-02,132.0735349245217
2022-11-03,129.8167844235106
2022-11-04,127.21518365388144
2022-11-07,128.7650477691247
2022-11-08,129.20778941585598
2022-11-09,129.16072729775345
2022-11-10,133.74072249964706
2022-11-11,134.25580816661807
2022-11-14,134.20039987615667
2022-11-15,135.65213661419406
2022-11-16,136.10596089180422
2022-11-17,136.26889591340074
2022-11-18,136.17647835413075
2022-11-21,135.9762098078204
2022-11-22,136.76431543038774
2022-11-23,135.83640341748523
2022-11-25,136.46366605224858
2022-11-28,136.49923737195854
2022-11-29,134.90205991310813
2022-11-30,136.58340214264533
2022-12-01,137.86115022532678
2022-12-02,138.1280760449979
2022-12-05,136.60480708323882
2022-12-06,136.93299833945582
2022-12-07,135.4360900615216
2022-12-08,134.7114083913944
2022-12-09,135.45114213332738
2022-12-12,134.9864668288264
2022-12-13,133.8958493708056
2022-12-14,133.52516381560574
2022-12-15,134.1139816508326
2022-12-16,134.14029817623845
2022-12-19,135.5630833273013
2022-12-20,135.00385989042238
2022-12-21,134.52887361194453
2022-12-22,134.85919354398067
2022-12-23,134.60589201797245
2022-12-27,134.12852746915055
2022-12-28,135.10665610586165
2022-12-29,134.4625147886751
2022-12-30,134.9289113971093
2023-01-03,135.38180770574004
2023-01-04,135.67585954822198
2023-01-05,136.1875855782071
2023-01-06,134.9139635461163
2023-01-09,134.11272578642888
2023-01-10,134.7545109904704
2023-01-11,132.87563592260665
2023-01-12,132.9803929822796
2023-01-13,134.7036492313888
2023-01-17,135.1333336519789
2023-01-18,135.05431600829627
2023-01-19,136.74602998757305
2023-01-20,136.24751756067874
