Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,GS,HD,JPM,KO,LOW,MA,META,MSFT,NFLX,NVDA,PEP,V,WFC,XOM
2023-07-17,191.30804443359375,133.55999755859375,27.414806365966797,135.22926330566406,83.59146881103516,123.62821960449219,304.9980773925781,295.112060546875,144.23081970214844,56.031124114990234,215.0109405517578,395.7513732910156,308.20135498046875,337.73870849609375,45.005001068115234,46.424713134765625,168.94102478027344,238.4832000732422,41.51326370239258,91.70846557617188
2023-07-18,191.0515899658203,132.8300018310547,28.627029418945312,135.50244140625,83.97248840332031,122.7455062866211,314.38470458984375,295.77508544921875,144.49411010742188,55.80998229980469,216.8406524658203,391.7760925292969,309.6202697753906,351.18060302734375,47.47999954223633,47.45690155029297,167.86708068847656,235.3358917236328,42.31122970581055,91.2923583984375
2023-07-19,192.4026641845703,135.36000061035156,29.40097999572754,136.33087158203125,85.03741455078125,121.0296859741211,317.44219970703125,298.31488037109375,145.0489044189453,56.795894622802734,217.7649688720703,391.8843078613281,313.5494384765625,346.87249755859375,47.75899887084961,47.040225982666016,169.51438903808594,235.97120666503906,42.92363739013672,91.92559814453125
2023-07-20,190.4599151611328,129.9600067138672,29.55017852783203,137.8379364013672,84.22651672363281,118.2228775024414,327.0526428222656,297.9507141113281,146.8355712890625,57.48695373535156,217.8592529296875,391.6777038574219,300.1644592285156,338.85223388671875,43.742000579833984,45.48445510864258,172.28106689453125,234.2118377685547,43.730892181396484,93.5448226928711
2023-07-21,189.28636169433594,130.0,29.82059669494629,139.8561248779297,85.1741943359375,119.0361557006836,328.0779724121094,299.2392272949219,145.70712280273438,57.533023834228516,220.49063110351562,391.1168518066406,291.96875,335.82391357421875,42.75,44.274391174316406,173.06375122070312,233.8501739501953,42.645267486572266,93.97903442382812
2023-07-24,190.0851593017578,128.8000030517578,30.44536018371582,142.61468505859375,84.60755157470703,120.53378295898438,334.5749816894531,303.57183837890625,148.57522583007812,57.55146026611328,220.6981658935547,398.2997741699219,289.3394470214844,337.1329650878906,42.83700180053711,44.57715606689453,173.7554473876953,235.30657958984375,43.07209014892578,95.45352172851562
2023-07-25,190.943115234375,129.1300048828125,29.97911834716797,143.26681518554688,83.65985870361328,121.20822143554688,330.632080078125,303.59051513671875,147.4656219482422,57.35795593261719,221.6836700439453,394.8460998535156,292.1771545410156,342.8673095703125,42.77000045776367,45.64332580566406,174.15586853027344,233.30282592773438,42.199893951416016,95.5982666015625
2023-07-26,191.8109588623047,128.14999389648438,30.2215633392334,142.191650390625,83.88455963134766,128.21034240722656,333.2980041503906,307.75506591796875,148.34950256347656,58.095088958740234,221.80686950683594,395.95794677734375,296.2452697753906,329.9626159667969,42.266998291015625,45.41649627685547,174.3743133544922,231.7487335205078,43.09065628051758,95.06454467773438
2023-07-27,190.54864501953125,128.25,29.792627334594727,140.71102905273438,83.39607238769531,128.3392791748047,330.4549560546875,307.8670959472656,146.7133331298828,57.533023834228516,222.5933380126953,388.1747131347656,309.28289794921875,323.0755920410156,41.31700134277344,45.8641471862793,171.580322265625,229.1487579345703,42.46897506713867,95.36306762695312
2023-07-28,193.12255859375,132.2100067138672,29.74599838256836,140.0148162841797,84.14836120605469,131.4932098388672,329.2618103027344,309.4171447753906,147.55023193359375,57.569881439208984,222.77342224121094,386.659423828125,322.9456787109375,330.548828125,42.577999114990234,46.71348190307617,173.2002716064453,230.42918395996094,42.81229019165039,94.22327423095703
